,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
26,27,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.098612289,0,3,0,0.0,0,0.0
27,28,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0,2,0,0.0,0,0.0
28,29,2000,Metropolitana,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1.609437912,0,5,0,0.0,1,0.2
29,30,2000,Metropolitana,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1.386294361,0,4,1,0.25,1,0.25
30,31,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289,0,3,1,0.3333333333333333,1,0.3333333333333333
31,32,2000,Metropolitana,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1.609437912,0,5,0,0.0,1,0.2
32,33,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0,3,1,0.3333333333333333,1,0.3333333333333333
33,34,2000,Metropolitana,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,0,2,0,0.0,1,0.5
34,35,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0,0.0,0,0.0
35,36,2000,Metropolitana,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361,0,4,1,0.25,2,0.5
36,37,2000,Metropolitana,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1.609437912,0,5,1,0.2,3,0.6
37,38,2000,Metropolitana,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1.386294361,0,4,0,0.0,2,0.5
38,39,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0,2,0,0.0,0,0.0
39,40,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289,0,3,0,0.0,0,0.0
40,41,2000,Metropolitana,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,0,4,1,0.25,2,0.5
41,42,2000,Metropolitana,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1.386294361,0,4,0,0.0,0,0.0
42,43,2000,Metropolitana,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1.609437912,0,5,1,0.2,1,0.2
43,44,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0,2,0,0.0,0,0.0
