i,t,m,Avocado,Bananas,Beans,Beef,Beef Entrails,Beer,Beets,Bread (french),Bread (sliced),Bread (sweet),Brown Sugar,Butter,Cabbages,Cakes,Candies,Carrots,Celery,Chayote,Chicken,Chicken Giblets,Chilies,Chocolate,Cigarettes,Coffee (instant),Cookies,Cooking Oil,Corn Atole,Corn Dough (fresh(,Corn Flakes,Corn Tamales,Cornmeal,Crema Fresca,Cucumbers,Dried Fruit,Dried Seeds,Eggs,Fish (Canned),Fish (Fresh),Garlic,Granulated Sugar,Herbs,"Honey, Molasses",Ice Cream,Incaparina,Infant Formula,Jam,Juice (Branded),Juices (Packaged),Lard,Leafcutter Ants and Other Insect,Lemons,Lettuce,Liquor,Maize,Mangos,Margarine,Melons,Milk,Milk (condensed),Milk (powdered),Mineral Water,Mushrooms,Onions,Oranges,Other,Other Atoles,Other Canned Goods,Other Sauces,Paches,Papaya,Pasta,Peas,Pineapples,Pork,Pork (cracklings),Potatoes,Pumpkin,Queso,Rice,Rolled Oats,Rural,Salt,Sausages,Soup,Spices,Sweets,Tea,Tomato Sauce,Tomatoes,Tortillas,Tostadas,Vegetable Oil,Water (bottle),Watermelon,Wheat Flour,Yogurt,Yucca
5694,2000,Peten,,2.5257286443082556,2.70805020110221,4.787491742782046,,,0.9162907318741551,5.0106352940962555,2.6390573296152584,5.0106352940962555,,,2.70805020110221,,,2.0149030205422647,,,3.784189633918261,,,,,,,3.367295829986474,,3.8066624897703196,,3.4011973816621555,2.70805020110221,2.8622008809294686,1.1786549963416462,,,3.4657359027997265,,,,,,,,,,,,,,,,,,,,,,,,4.68213122712422,,,2.0149030205422647,,,,,,,,3.1986731175506815,,,3.9512437185814275,,1.5040773967762742,,2.4849066497880004,2.8903717578961645,2.5649493574615367,0.0,,4.787491742782046,2.0794415416798357,,,,,2.70805020110221,3.8066624897703196,,,,,2.5257286443082556,,
5695,2000,Peten,,3.295836866004329,,4.718498871295094,,,,,,1.0986122886681098,,,,,,,,1.5040773967762742,3.5553480614894135,,,,,2.6390573296152584,,3.1780538303479458,,,,,,3.449987545831587,,,,2.803360380906535,,,,,,,,,,,,,,,0.0,,,,,1.6582280766035324,,,,3.332204510175204,,,1.0986122886681098,,,,,,,,,,,,,1.5040773967762742,,2.4849066497880004,,1.791759469228055,0.0,0.0,,,,,,,3.1135153092103742,,0.9162907318741551,,,2.8903717578961645,,,
5696,2000,Peten,,,1.9459101490553132,6.161207321695077,,,1.0986122886681098,,,4.31748811353631,,,,,,1.791759469228055,,,2.995732273553991,,1.0986122886681098,,,3.4965075614664802,,3.58351893845611,,,,,,1.9459101490553132,1.0986122886681098,,,3.044522437723423,,2.995732273553991,1.0986122886681098,3.068052935133617,,,,2.6026896854443837,,,,,,,0.0,1.791759469228055,,4.54063166485052,,2.1972245773362196,,,,3.1780538303479458,,,2.1972245773362196,,,,,,,,0.6931471805599453,,,3.1780538303479458,2.995732273553991,2.4203681286504293,,2.4849066497880004,2.9311937524164198,1.8718021769015913,0.0,0.6931471805599453,1.791759469228055,1.5040773967762742,,,,,2.70805020110221,,,,2.5257286443082556,2.995732273553991,1.252762968495368,,
5697,2000,Peten,,2.995732273553991,2.0794415416798357,3.9512437185814275,,,,2.70805020110221,2.995732273553991,2.70805020110221,,,,,,0.6931471805599453,,,2.995732273553991,,1.0986122886681098,,,,1.791759469228055,2.772588722239781,,4.31748811353631,,,,1.9459101490553132,1.0986122886681098,,,,,,,2.4203681286504293,2.3513752571634776,,,,,,,,,,1.3862943611198906,,,,,1.6094379124341003,,,,,2.1972245773362196,,1.6094379124341003,,,,,,,,1.3862943611198906,,,,,0.6931471805599453,,,1.3217558399823195,,0.0,0.0,,1.5040773967762742,,,,,1.6094379124341003,3.8066624897703196,,,,,,,0.0
5698,2000,Peten,,3.58351893845611,1.791759469228055,4.997212273764115,2.4849066497880004,,1.6094379124341003,2.70805020110221,3.4011973816621555,3.091042453358316,,,1.3862943611198906,5.0106352940962555,,0.6931471805599453,0.0,,3.58351893845611,,1.3862943611198906,,,3.1354942159291497,,2.917770732084279,,,,,,2.995732273553991,2.0794415416798357,,,2.70805020110221,,3.1780538303479458,0.4054651081081644,,,,3.8066624897703196,,,,2.70805020110221,,,,1.6094379124341003,,,1.8718021769015913,,2.3978952727983707,,,,3.9889840465642745,3.912023005428146,,2.5257286443082556,1.0986122886681098,,,,1.7047480922384253,,,2.0794415416798357,0.9162907318741551,2.772588722239781,3.1780538303479458,,1.3862943611198906,,4.0943445622221,2.4849066497880004,2.4849066497880004,0.0,0.6931471805599453,2.847812143477369,1.3862943611198906,,,,0.9162907318741551,2.302585092994046,4.0943445622221,2.1972245773362196,,,2.302585092994046,1.252762968495368,,
5699,2000,Peten,,3.1780538303479458,1.6094379124341003,4.997212273764115,,,,,3.091042453358316,,,2.6390573296152584,1.0986122886681098,,,1.791759469228055,0.6931471805599453,1.791759469228055,1.0986122886681098,,,,,3.4339872044851463,,3.6109179126442243,,4.257738130786587,,,,,0.0,,,2.6390573296152584,,,1.252762968495368,3.2676659890376327,,,,,,,,,,,1.0986122886681098,,,,,1.6094379124341003,,,,4.499809670330265,,,1.791759469228055,,,,,,,,2.772588722239781,1.3862943611198906,2.0149030205422647,3.1780538303479458,,1.0986122886681098,,2.6390573296152584,2.4849066497880004,,0.0,,2.70805020110221,2.1400661634962708,2.1972245773362196,,,1.6094379124341003,2.302585092994046,,,,4.499809670330265,2.302585092994046,,,
5700,2000,Peten,1.0986122886681098,0.6931471805599453,2.4849066497880004,3.7612001156935624,,,,3.4011973816621555,,3.960813169597578,,,,,,,,,2.302585092994046,,,,,,,2.0149030205422647,,,,,,2.995732273553991,,,,,,,,2.1972245773362196,4.653960350157523,,,1.5040773967762742,,,,,,,,,,,,1.3862943611198906,,,,3.332204510175204,,,,,,,,,,,1.3862943611198906,,,,,1.3862943611198906,,,2.3513752571634776,,0.0,,1.0986122886681098,,,,,,1.3862943611198906,3.332204510175204,,,,,,,
5701,2000,Peten,0.0,3.1780538303479458,1.6094379124341003,3.9512437185814275,,,,,,2.995732273553991,,,,,,1.6094379124341003,0.0,1.0986122886681098,2.302585092994046,,1.5040773967762742,,,2.1972245773362196,,,,,3.091042453358316,,,,0.0,,,3.765840512842657,,,0.0,2.3513752571634776,0.6931471805599453,,,,,,,,,,0.0,,,,,,,,,3.6635616461296463,1.791759469228055,,1.6094379124341003,,,,,2.302585092994046,,,1.3862943611198906,,1.6094379124341003,2.5649493574615367,2.302585092994046,2.0149030205422647,,,1.3862943611198906,,0.0,,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,,1.3862943611198906,1.6094379124341003,4.31748811353631,,,3.258096538021482,,,,
5779,2000,Peten,,,2.302585092994046,4.736198448394496,,,,,,,,,,,,,,,1.8718021769015913,,,,,,,,,,,1.9459101490553132,,2.772588722239781,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.817712325956905,,,,,,,,,,,,,,,,,,,,1.8718021769015913,0.0,,,,,,,,,,,,,,,,
5780,2000,Peten,,,,4.564348191467836,,,,,,4.499809670330265,,,,,,,,,3.4011973816621555,,,,,2.0149030205422647,,,,,,,,,,,,2.1972245773362196,,,,4.0943445622221,,,,2.5649493574615367,,,,,,,,,,,,,,,,,2.8903717578961645,,1.6094379124341003,,,,,,,,2.995732273553991,,,,,2.302585092994046,,,1.791759469228055,1.9459101490553132,0.0,0.6931471805599453,,1.6094379124341003,,1.6094379124341003,,,2.8903717578961645,,,,,,,,
5781,2000,Peten,,,,4.382026634673881,,,,,,4.499809670330265,,,,,,,,,3.091042453358316,,,,,2.70805020110221,,,,,,,,,,,,,,,,3.912023005428146,,,,,,,,,,,,,,,,,,,,,,,1.791759469228055,,,,,,,,2.302585092994046,,,,,1.791759469228055,,,1.252762968495368,,0.0,,,2.0149030205422647,,,,,2.302585092994046,,,,,,,,
5782,2000,Peten,,,2.0149030205422647,5.2574953720277815,,3.4011973816621555,,,,3.4011973816621555,,,,,,,,,3.4011973816621555,,,,2.772588722239781,2.0149030205422647,,2.1972245773362196,,,,,,,,,,2.70805020110221,,,,,,,,2.302585092994046,,,,,,,,,,2.8903717578961645,,,,,,,3.4011973816621555,,1.6094379124341003,,,,,,,,2.0794415416798357,,,,,2.302585092994046,,,2.3978952727983707,2.8903717578961645,0.0,0.6931471805599453,,1.6094379124341003,,2.302585092994046,,,2.4849066497880004,,,,,,,,
5783,2000,Peten,1.791759469228055,4.127134385045092,1.6094379124341003,4.787491742782046,,,2.0794415416798357,2.70805020110221,,2.302585092994046,,,,,2.5257286443082556,4.8283137373023015,0.0,2.70805020110221,2.8903717578961645,,,,2.0794415416798357,2.8622008809294686,0.6931471805599453,2.803360380906535,,,,,2.772588722239781,,1.5040773967762742,,0.4054651081081644,2.0794415416798357,,,0.6931471805599453,3.960813169597578,,,,,,,1.791759469228055,,,,,1.6094379124341003,3.4011973816621555,5.082955955675882,,2.0149030205422647,1.6094379124341003,,,3.2188758248682006,3.58351893845611,,1.3862943611198906,1.6094379124341003,,,,,,2.0794415416798357,3.1780538303479458,1.3862943611198906,1.0986122886681098,,2.995732273553991,2.3513752571634776,,1.6094379124341003,2.0149030205422647,,0.0,0.6931471805599453,2.821378841171117,0.9162907318741551,1.3862943611198906,1.543298073177418,,1.791759469228055,3.624340932976365,,2.70805020110221,,2.0149030205422647,,,,
5784,2000,Peten,1.791759469228055,1.9459101490553132,2.0149030205422647,4.430816798843313,,,,1.6094379124341003,,2.995732273553991,,,,,1.6094379124341003,0.6931471805599453,,,1.9459101490553132,1.6094379124341003,,,4.787491742782046,2.5649493574615367,0.9162907318741551,2.3627390054559774,,3.8918202981106265,,,,1.9459101490553132,,,-0.6931471805599453,3.5145260214334435,,,1.3862943611198906,2.995732273553991,,,,,,,,,,,1.791759469228055,,,,,1.0986122886681098,,,,2.6390573296152584,3.4011973816621555,,1.791759469228055,,,,,,,,2.4849066497880004,,1.3862943611198906,,,2.0794415416798357,,2.6390573296152584,2.0149030205422647,,0.0,0.6931471805599453,1.791759469228055,2.4849066497880004,1.9459101490553132,0.9162907318741551,,,3.044522437723423,,,,,,1.791759469228055,,
