,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
699,700,2000,Metropolitana,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1.609437912,1,5,0,0.0,0,0.0
700,701,2000,Metropolitana,1,0,2,0,0,1,1,2,2,0,1,1,0,0,2.397895273,1,11,1,0.09090909090909091,3,0.2727272727272727
701,702,2000,Metropolitana,0,0,1,0,2,0,2,0,0,0,1,1,0,0,1.945910149,1,7,0,0.0,1,0.14285714285714285
702,703,2000,Metropolitana,0,0,0,1,0,1,2,1,0,0,1,1,0,0,1.945910149,1,7,0,0.0,1,0.14285714285714285
703,704,2000,Metropolitana,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1.609437912,1,5,0,0.0,0,0.0
704,705,2000,Metropolitana,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912,1,5,2,0.4,3,0.6
705,706,2000,Metropolitana,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1.609437912,1,5,1,0.2,1,0.2
706,707,2000,Metropolitana,1,0,0,1,0,2,0,1,0,0,1,1,0,0,1.945910149,1,7,1,0.14285714285714285,2,0.2857142857142857
707,708,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1,2,0,0.0,0,0.0
708,709,2000,Metropolitana,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912,1,5,1,0.2,3,0.6
709,710,2000,Metropolitana,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,1,0.25,2,0.5
710,711,2000,Metropolitana,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1.791759469,1,6,2,0.3333333333333333,4,0.6666666666666666
711,712,2000,Metropolitana,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289,1,3,0,0.0,0,0.0
712,713,2000,Metropolitana,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289,1,3,0,0.0,0,0.0
713,714,2000,Metropolitana,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1.609437912,1,5,0,0.0,0,0.0
756,757,2000,Metropolitana,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1.609437912,1,5,1,0.2,3,0.6
757,758,2000,Metropolitana,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1.386294361,1,4,2,0.5,3,0.75
758,759,2000,Metropolitana,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1.609437912,1,5,0,0.0,1,0.2
759,760,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1.386294361,1,4,0,0.0,0,0.0
760,761,2000,Metropolitana,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912,1,5,1,0.2,3,0.6
761,762,2000,Metropolitana,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1.609437912,1,5,0,0.0,1,0.2
762,763,2000,Metropolitana,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1.945910149,1,7,1,0.14285714285714285,2,0.2857142857142857
763,764,2000,Metropolitana,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,2,0.5,2,0.5
764,765,2000,Metropolitana,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1.945910149,1,7,1,0.14285714285714285,2,0.2857142857142857
809,810,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289,1,3,0,0.0,0,0.0
810,811,2000,Metropolitana,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1.098612289,1,3,0,0.0,1,0.3333333333333333
811,812,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1.098612289,1,3,0,0.0,0,0.0
812,813,2000,Metropolitana,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1.098612289,1,3,0,0.0,1,0.3333333333333333
813,814,2000,Metropolitana,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1.791759469,1,6,1,0.16666666666666666,1,0.16666666666666666
814,815,2000,Metropolitana,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1.609437912,1,5,1,0.2,3,0.6
815,816,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806,1,2,0,0.0,0,0.0
816,817,2000,Metropolitana,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1.386294361,1,4,0,0.0,0,0.0
817,818,2000,Metropolitana,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1.609437912,1,5,0,0.0,1,0.2
818,819,2000,Metropolitana,0,2,1,1,0,0,0,0,0,1,1,0,0,0,1.791759469,1,6,2,0.3333333333333333,4,0.6666666666666666
819,820,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,1,0,0.0,0,0.0
820,821,2000,Metropolitana,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1.386294361,1,4,0,0.0,0,0.0
821,822,2000,Metropolitana,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1.609437912,1,5,0,0.0,1,0.2
822,823,2000,Metropolitana,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1.386294361,1,4,0,0.0,1,0.25
823,824,2000,Metropolitana,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1.386294361,1,4,0,0.0,0,0.0
824,825,2000,Metropolitana,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1.386294361,1,4,0,0.0,0,0.0
825,826,2000,Metropolitana,0,0,0,0,0,1,0,0,1,2,0,1,1,1,1.945910149,1,7,0,0.0,0,0.0
826,827,2000,Metropolitana,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.098612289,1,3,0,0.0,1,0.3333333333333333
827,828,2000,Metropolitana,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,2,0.5,2,0.5
855,856,2000,Metropolitana,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1.791759469,1,6,1,0.16666666666666666,2,0.3333333333333333
856,857,2000,Metropolitana,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1.791759469,1,6,1,0.16666666666666666,2,0.3333333333333333
857,858,2000,Metropolitana,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,1,0.25,2,0.5
858,859,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6931471806,1,2,0,0.0,0,0.0
859,860,2000,Metropolitana,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1.609437912,1,5,0,0.0,2,0.4
860,861,2000,Metropolitana,0,0,0,1,1,1,1,0,3,0,1,1,0,0,2.197224577,1,9,0,0.0,1,0.1111111111111111
861,862,2000,Metropolitana,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1.098612289,1,3,0,0.0,0,0.0
862,863,2000,Metropolitana,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1.386294361,1,4,2,0.5,2,0.5
863,864,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.386294361,1,4,0,0.0,0,0.0
