i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural
65,2000,Metropolitana,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1.609437912,0
66,2000,Metropolitana,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.098612289,0
67,2000,Metropolitana,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.098612289,0
68,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289,0
69,2000,Metropolitana,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1.386294361,0
70,2000,Metropolitana,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1.386294361,0
71,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289,0
72,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0
73,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0
74,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.098612289,0
75,2000,Metropolitana,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1.098612289,0
76,2000,Metropolitana,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1.609437912,0
77,2000,Metropolitana,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1.791759469,0
78,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289,0
79,2000,Metropolitana,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1.791759469,0
80,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0
81,2000,Metropolitana,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1.609437912,0
82,2000,Metropolitana,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1.386294361,0
83,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806,0
84,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1.386294361,0
85,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.098612289,0
86,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806,0
87,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,2000,Metropolitana,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361,0
90,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0
91,2000,Metropolitana,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.098612289,0
92,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,2000,Metropolitana,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1.098612289,0
94,2000,Metropolitana,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.098612289,0
95,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.386294361,0
96,2000,Metropolitana,1,0,0,1,0,0,0,1,2,1,1,0,1,0,2.079441542,0
97,2000,Metropolitana,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1.791759469,0
98,2000,Metropolitana,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,0
99,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0
100,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289,0
101,2000,Metropolitana,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1.609437912,0
102,2000,Metropolitana,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1.098612289,0
103,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0
104,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806,0
105,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0
106,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0
107,2000,Metropolitana,0,0,0,0,2,0,1,0,1,0,0,1,1,0,1.791759469,0
108,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0
109,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,2000,Metropolitana,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1.098612289,0
111,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289,0
112,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,2000,Metropolitana,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1.098612289,0
114,2000,Metropolitana,1,0,1,0,1,0,1,1,0,2,0,1,1,1,2.302585093,0
115,2000,Metropolitana,0,0,0,1,1,0,0,0,1,2,2,0,1,1,2.197224577,0
116,2000,Metropolitana,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1.098612289,0
117,2000,Metropolitana,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1.609437912,0
118,2000,Metropolitana,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1.609437912,0
119,2000,Metropolitana,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1.609437912,0
120,2000,Metropolitana,1,1,2,1,2,0,0,0,0,1,0,1,0,0,2.197224577,0
121,2000,Metropolitana,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1.098612289,0
122,2000,Metropolitana,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1.386294361,0
123,2000,Metropolitana,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.386294361,0
124,2000,Metropolitana,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.098612289,0
125,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0
126,2000,Metropolitana,0,0,0,1,1,2,0,0,0,0,1,1,0,0,1.791759469,0
127,2000,Metropolitana,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289,0
128,2000,Metropolitana,1,0,1,0,2,0,0,0,0,0,1,1,0,0,1.791759469,0
129,2000,Metropolitana,1,0,1,2,2,0,0,0,1,1,0,0,0,0,2.079441542,0
130,2000,Metropolitana,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1.609437912,0
131,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,2000,Metropolitana,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1.609437912,0
133,2000,Metropolitana,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1.386294361,0
134,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1.098612289,0
135,2000,Metropolitana,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1.945910149,0
136,2000,Metropolitana,1,1,0,0,1,1,2,0,0,0,1,1,0,0,2.079441542,0
137,2000,Metropolitana,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1.386294361,0
138,2000,Metropolitana,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,0
139,2000,Metropolitana,1,0,0,0,0,0,2,2,1,1,0,1,0,0,2.079441542,0
140,2000,Metropolitana,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1.386294361,0
141,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,2000,Metropolitana,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806,0
143,2000,Metropolitana,1,0,0,1,0,0,0,0,2,1,0,0,1,1,1.945910149,0
144,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.6931471806,0
145,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
146,2000,Metropolitana,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1.945910149,0
147,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,2000,Metropolitana,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1.386294361,0
149,2000,Metropolitana,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1.098612289,0
150,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,2000,Metropolitana,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1.098612289,0
152,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806,0
153,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
154,2000,Metropolitana,0,0,0,1,1,1,0,0,1,0,1,2,0,2,2.197224577,0
155,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.386294361,0
156,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806,0
157,2000,Metropolitana,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361,0
158,2000,Metropolitana,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1.609437912,0
159,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161,2000,Metropolitana,0,0,0,0,0,0,0,1,2,0,1,0,1,1,1.791759469,0
162,2000,Metropolitana,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1.386294361,0
163,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1.386294361,0
164,2000,Metropolitana,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1.609437912,0
165,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1.098612289,0
166,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1.098612289,0
167,2000,Metropolitana,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1.609437912,0
168,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806,0
169,2000,Metropolitana,1,1,0,1,0,0,0,1,0,0,1,2,0,0,1.945910149,0
170,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.098612289,0
172,2000,Metropolitana,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1.791759469,0
173,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0
174,2000,Metropolitana,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1.609437912,0
175,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
176,2000,Metropolitana,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.098612289,0
177,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1.609437912,0
178,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
179,2000,Metropolitana,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1.609437912,0
180,2000,Metropolitana,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1.609437912,0
181,2000,Metropolitana,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1.609437912,0
182,2000,Metropolitana,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1.386294361,0
183,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
184,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806,0
185,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471806,0
186,2000,Metropolitana,0,0,2,0,0,0,0,1,0,0,1,1,0,1,1.791759469,0
187,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289,0
