i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99
1,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,1,0,0
2,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1
3,2000,Metropolitana,0,0,0,0,2,0,0,0,1,0,1,1,1,0
4,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2000,Metropolitana,0,0,1,0,0,0,0,0,0,0,1,1,0,0
6,2000,Metropolitana,1,1,0,0,0,0,0,1,0,0,0,1,0,1
7,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,0,1,0,1
8,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,1,1
9,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,1,1
11,2000,Metropolitana,0,0,0,0,0,1,1,0,2,0,0,1,1,0
12,2000,Metropolitana,0,0,0,0,0,1,0,0,0,0,2,1,0,0
13,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,0,0,0,2
14,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,0,1
15,2000,Metropolitana,0,0,0,0,0,1,0,0,1,1,1,1,0,0
16,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,2000,Metropolitana,1,1,0,1,0,0,0,0,3,1,0,0,1,2
19,2000,Metropolitana,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,2000,Metropolitana,2,0,0,0,0,0,0,0,1,1,0,0,0,0
24,2000,Metropolitana,0,2,0,0,0,0,0,0,0,1,0,1,0,0
25,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,2000,Metropolitana,0,0,0,0,0,0,0,1,0,2,0,1,1,0
27,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,1,1,0
28,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,2000,Metropolitana,0,0,1,0,0,0,0,0,2,1,0,0,0,1
30,2000,Metropolitana,0,1,0,0,1,0,0,0,1,1,0,0,0,0
31,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,0,0,0,1
32,2000,Metropolitana,0,0,0,1,1,1,0,0,0,0,1,1,0,0
33,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0
34,2000,Metropolitana,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2000,Metropolitana,1,0,0,1,0,0,0,0,0,1,1,0,0,0
37,2000,Metropolitana,1,0,0,2,0,0,0,0,1,1,0,0,0,0
38,2000,Metropolitana,0,0,0,2,0,0,0,0,0,1,1,0,0,0
39,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1
41,2000,Metropolitana,1,0,0,1,0,0,0,0,1,1,0,0,0,0
42,2000,Metropolitana,0,0,0,0,1,0,0,0,0,0,2,1,0,0
43,2000,Metropolitana,0,1,0,0,1,1,0,0,0,1,1,0,0,0
44,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
45,2000,Metropolitana,1,0,1,1,0,0,0,0,0,1,1,0,0,0
46,2000,Metropolitana,0,0,1,0,0,0,0,0,0,0,1,1,0,0
47,2000,Metropolitana,0,0,0,0,0,0,0,0,2,1,0,0,0,1
48,2000,Metropolitana,0,0,2,0,0,0,0,0,0,0,1,1,0,0
49,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,2000,Metropolitana,1,0,2,0,0,0,0,0,1,1,0,0,0,1
51,2000,Metropolitana,0,0,0,1,0,1,2,0,0,0,0,1,1,0
52,2000,Metropolitana,0,0,0,0,2,0,0,1,0,0,2,1,1,1
53,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,1,0,0,0
54,2000,Metropolitana,0,0,0,1,1,0,0,1,0,0,1,1,0,0
55,2000,Metropolitana,0,0,0,0,1,0,1,1,0,0,0,0,0,1
56,2000,Metropolitana,0,0,0,1,0,0,0,0,1,1,0,0,0,0
57,2000,Metropolitana,0,0,0,0,1,0,0,0,0,0,1,1,0,0
58,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,1,1
59,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,0,0,1,1
60,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,0,1,0,0
61,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0
62,2000,Metropolitana,0,0,0,0,0,1,0,1,0,0,1,1,0,0
63,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,1,0,0,0
64,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,0,0,0,0
65,2000,Metropolitana,0,0,0,0,1,0,1,1,0,0,1,1,0,0
66,2000,Metropolitana,0,0,0,0,0,0,0,1,1,0,0,1,0,0
67,2000,Metropolitana,0,0,1,0,1,0,0,0,0,0,0,1,0,0
68,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,0,0
69,2000,Metropolitana,0,0,0,0,1,0,0,1,0,0,1,1,0,0
70,2000,Metropolitana,0,0,0,0,0,0,0,0,2,0,0,1,1,0
71,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1
72,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0
73,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
74,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,2
75,2000,Metropolitana,0,0,0,0,0,0,0,2,0,0,0,1,0,0
76,2000,Metropolitana,0,0,0,0,0,1,2,0,0,0,1,1,0,0
77,2000,Metropolitana,1,0,1,0,1,0,0,0,1,1,0,0,0,1
78,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,0,0
79,2000,Metropolitana,0,0,1,1,0,0,0,0,1,1,1,0,0,1
80,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0
81,2000,Metropolitana,0,0,1,1,1,0,0,0,0,0,1,1,0,0
82,2000,Metropolitana,0,0,0,0,0,0,2,0,0,0,1,1,0,0
83,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2
84,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,2,0,0,1
85,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,1,0,1
86,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2
87,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,2000,Metropolitana,1,0,0,1,0,0,0,0,0,0,1,1,0,0
90,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
91,2000,Metropolitana,0,0,0,0,0,0,0,0,1,1,0,0,0,1
92,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,2000,Metropolitana,0,0,0,0,0,0,0,1,0,1,0,0,0,1
94,2000,Metropolitana,0,0,0,0,0,0,0,0,1,1,0,1,0,0
95,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,1,0,1,1
96,2000,Metropolitana,1,0,0,1,0,0,0,1,2,1,1,0,1,0
97,2000,Metropolitana,0,0,0,0,0,0,0,0,0,2,1,1,1,1
98,2000,Metropolitana,0,0,0,0,0,0,0,0,1,1,0,0,0,0
99,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0
100,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,0,0
101,2000,Metropolitana,0,0,2,1,0,0,0,0,0,1,1,0,0,0
102,2000,Metropolitana,0,0,0,0,2,0,0,0,0,0,0,0,0,1
103,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
104,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,1,0,0
105,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0
106,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0
107,2000,Metropolitana,0,0,0,0,2,0,1,0,1,0,0,1,1,0
108,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0
109,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,2000,Metropolitana,0,0,0,0,0,1,0,1,0,0,0,0,0,1
111,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,1,1
112,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,2000,Metropolitana,0,0,0,0,0,0,1,0,1,1,0,0,0,0
114,2000,Metropolitana,1,0,1,0,1,0,1,1,0,2,0,1,1,1
115,2000,Metropolitana,0,0,0,1,1,0,0,0,1,2,2,0,1,1
116,2000,Metropolitana,0,1,0,0,0,0,0,0,0,0,1,0,0,1
117,2000,Metropolitana,0,2,1,0,0,0,0,0,0,1,0,0,0,1
118,2000,Metropolitana,1,0,0,0,0,1,0,0,0,0,1,1,0,1
119,2000,Metropolitana,0,0,0,0,3,0,0,1,0,1,0,0,0,0
120,2000,Metropolitana,1,1,2,1,2,0,0,0,0,1,0,1,0,0
121,2000,Metropolitana,0,0,0,0,0,0,1,0,1,0,0,0,0,1
122,2000,Metropolitana,0,0,0,1,0,0,0,1,0,0,0,0,1,1
123,2000,Metropolitana,0,0,0,1,0,1,0,0,0,0,1,1,0,0
124,2000,Metropolitana,0,0,0,0,1,0,0,1,0,0,0,1,0,0
125,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
126,2000,Metropolitana,0,0,0,1,1,2,0,0,0,0,1,1,0,0
127,2000,Metropolitana,0,0,0,0,0,1,0,0,0,0,1,1,0,0
128,2000,Metropolitana,1,0,1,0,2,0,0,0,0,0,1,1,0,0
129,2000,Metropolitana,1,0,1,2,2,0,0,0,1,1,0,0,0,0
130,2000,Metropolitana,0,1,2,0,1,0,0,0,0,1,0,0,0,0
131,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,2000,Metropolitana,0,0,0,0,0,0,1,1,0,0,1,1,0,1
133,2000,Metropolitana,0,0,0,1,0,0,0,1,0,0,0,1,0,1
134,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,1,0,0,1
135,2000,Metropolitana,1,0,1,0,0,0,1,0,1,1,1,1,0,0
136,2000,Metropolitana,1,1,0,0,1,1,2,0,0,0,1,1,0,0
137,2000,Metropolitana,0,2,1,0,0,0,0,0,0,1,0,0,0,0
138,2000,Metropolitana,1,0,0,1,0,0,0,0,1,1,0,0,0,0
139,2000,Metropolitana,1,0,0,0,0,0,2,2,1,1,0,1,0,0
140,2000,Metropolitana,0,0,0,0,0,1,1,0,1,0,0,1,0,0
141,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,2000,Metropolitana,0,0,0,0,0,0,0,1,1,0,0,0,0,0
143,2000,Metropolitana,1,0,0,1,0,0,0,0,2,1,0,0,1,1
144,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,1,0,0,0
145,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,2000,Metropolitana,1,0,1,0,1,1,0,1,0,0,0,1,1,0
147,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,2000,Metropolitana,0,0,2,0,1,0,0,0,0,0,0,1,0,0
149,2000,Metropolitana,0,0,1,1,0,0,0,0,0,1,0,0,0,0
150,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,2000,Metropolitana,2,0,0,0,0,0,0,0,0,1,0,0,0,0
152,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,0,1
153,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,0,0,0,0
154,2000,Metropolitana,0,0,0,1,1,1,0,0,1,0,1,2,0,2
155,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,2,0,1,1
156,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,1,0
157,2000,Metropolitana,0,0,1,0,1,0,0,0,0,0,1,1,0,0
158,2000,Metropolitana,0,0,0,0,0,0,0,1,0,2,0,1,1,0
159,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,2000,Metropolitana,0,0,0,0,0,0,0,1,2,0,1,0,1,1
162,2000,Metropolitana,0,0,0,0,0,0,1,1,0,0,0,1,1,0
163,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,1
164,2000,Metropolitana,0,0,0,1,0,1,0,1,0,0,1,1,0,0
165,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,1,1,0,0
166,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,2,1,0
167,2000,Metropolitana,0,0,0,0,0,0,0,1,1,1,0,0,1,1
168,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2
169,2000,Metropolitana,1,1,0,1,0,0,0,1,0,0,1,2,0,0
170,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,2
172,2000,Metropolitana,0,0,0,0,1,1,0,0,0,0,0,0,2,2
173,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0
174,2000,Metropolitana,0,0,0,0,0,0,2,0,0,1,1,0,0,1
175,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,2000,Metropolitana,0,0,0,1,0,0,0,0,0,1,0,0,0,1
177,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,2,0,1,2
178,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,2000,Metropolitana,0,3,0,0,0,0,0,0,0,0,1,1,0,0
180,2000,Metropolitana,0,0,0,0,0,0,1,1,1,0,1,1,0,0
181,2000,Metropolitana,0,0,0,0,0,0,1,0,0,1,0,1,1,1
182,2000,Metropolitana,0,0,0,0,0,0,2,0,0,0,1,1,0,0
183,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,1
185,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,1,0,0
186,2000,Metropolitana,0,0,2,0,0,0,0,1,0,0,1,1,0,1
187,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,0,0
188,2000,Metropolitana,1,1,0,0,0,0,0,0,1,2,0,0,1,0
189,2000,Metropolitana,0,0,0,0,0,0,1,0,1,2,0,1,0,0
190,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,1,0,0,1
191,2000,Metropolitana,0,0,1,0,1,1,0,0,0,0,1,1,0,0
192,2000,Metropolitana,0,1,0,1,0,0,0,0,0,1,1,1,0,0
193,2000,Metropolitana,0,0,1,0,1,0,1,0,0,0,1,1,0,0
194,2000,Metropolitana,0,0,0,0,1,1,0,0,1,0,0,1,0,0
195,2000,Metropolitana,0,0,0,0,0,1,2,0,0,0,1,1,0,0
196,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,1
197,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2
198,2000,Metropolitana,0,0,0,0,1,1,2,0,0,0,1,0,0,0
199,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,2
201,2000,Metropolitana,0,0,0,1,1,1,0,0,0,0,1,1,0,0
202,2000,Metropolitana,1,0,0,1,0,1,0,0,0,0,1,1,0,0
203,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,1,0,0,0
204,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
206,2000,Metropolitana,0,2,0,0,0,0,0,0,0,1,1,0,1,0
207,2000,Metropolitana,0,1,0,1,1,0,1,1,0,1,1,1,2,1
208,2000,Metropolitana,0,0,0,0,1,0,1,0,0,2,1,1,0,0
209,2000,Metropolitana,1,0,2,1,0,0,0,0,0,1,2,1,0,0
210,2000,Metropolitana,0,0,0,1,0,0,0,0,0,0,1,1,0,0
211,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,1
212,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,2
213,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,0,0
214,2000,Metropolitana,0,0,0,0,1,0,0,1,2,1,0,1,0,0
215,2000,Metropolitana,1,0,0,1,0,0,0,0,0,0,1,1,0,0
216,2000,Metropolitana,0,0,0,1,0,1,1,0,0,0,1,1,0,0
217,2000,Metropolitana,0,0,0,0,0,0,1,0,1,0,0,0,0,0
218,2000,Metropolitana,0,0,0,0,0,0,2,0,0,0,0,0,0,0
219,2000,Metropolitana,0,1,0,1,2,2,1,0,0,0,1,2,0,0
220,2000,Metropolitana,1,0,1,0,0,0,0,0,0,1,1,1,0,0
221,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,0,0,0,0
222,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,2,0,0,1
223,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0
224,2000,Metropolitana,0,0,1,1,0,1,1,1,0,1,1,1,0,0
225,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,1,1
226,2000,Metropolitana,1,0,0,1,0,0,0,1,0,1,1,1,0,0
227,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,1,0,0
228,2000,Metropolitana,0,0,1,0,2,1,0,0,0,0,1,1,0,0
229,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,1,2
231,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,1,1,1
232,2000,Metropolitana,0,0,1,0,0,0,0,1,0,0,1,1,0,1
233,2000,Metropolitana,0,0,0,0,0,0,0,0,1,2,0,0,1,1
234,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,1,0,1,1
235,2000,Metropolitana,1,0,0,2,0,0,0,0,0,0,1,2,1,1
236,2000,Metropolitana,1,0,0,1,0,0,0,0,2,1,0,1,1,0
237,2000,Metropolitana,0,0,0,0,0,0,0,0,2,0,0,1,0,0
238,2000,Metropolitana,0,0,0,1,1,0,0,0,0,0,1,1,1,1
239,2000,Metropolitana,0,1,0,1,0,0,1,0,0,2,0,1,0,0
240,2000,Metropolitana,0,0,0,0,0,0,0,1,1,1,0,0,0,0
241,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
242,2000,Metropolitana,0,0,1,0,1,1,0,0,0,0,1,1,0,0
243,2000,Metropolitana,1,1,0,0,0,0,0,0,0,0,1,1,0,0
244,2000,Metropolitana,0,0,0,0,0,0,0,1,0,2,0,0,0,0
245,2000,Metropolitana,0,0,0,0,0,0,0,0,1,1,0,0,1,1
246,2000,Metropolitana,0,0,0,0,0,1,1,1,1,0,1,1,0,0
247,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,1
248,2000,Metropolitana,0,0,1,0,1,0,0,0,0,0,0,1,0,0
249,2000,Metropolitana,0,0,0,0,0,2,1,1,0,0,1,1,0,0
250,2000,Metropolitana,0,0,0,0,1,0,1,0,0,0,0,0,1,2
251,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
252,2000,Metropolitana,0,1,0,0,0,0,0,0,0,1,1,0,0,0
253,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0
254,2000,Metropolitana,1,0,1,0,0,0,0,0,0,0,0,1,0,2
255,2000,Metropolitana,0,1,0,1,0,0,0,0,2,2,1,0,0,0
256,2000,Metropolitana,0,0,0,0,0,0,1,0,0,1,0,0,0,1
257,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0
258,2000,Metropolitana,0,1,1,1,0,0,1,1,1,2,1,1,0,0
259,2000,Metropolitana,0,0,0,0,0,1,1,0,1,0,1,1,0,0
260,2000,Metropolitana,0,0,0,0,1,0,1,1,0,0,0,1,0,0
261,2000,Metropolitana,0,1,1,0,1,0,0,0,0,0,1,1,0,1
262,2000,Metropolitana,0,1,0,0,0,0,0,0,0,0,0,1,0,0
263,2000,Metropolitana,0,0,1,1,0,0,0,0,0,0,1,1,0,0
264,2000,Metropolitana,0,1,0,1,0,0,0,1,0,0,1,1,0,0
265,2000,Metropolitana,0,0,1,0,0,0,0,1,0,0,0,1,0,0
266,2000,Metropolitana,0,0,0,0,0,1,1,1,2,0,1,1,0,0
267,2000,Metropolitana,0,0,0,0,0,0,0,0,2,2,0,0,0,0
268,2000,Metropolitana,0,0,0,0,0,1,0,1,1,0,1,1,0,0
269,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,1
270,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0
271,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1
272,2000,Metropolitana,0,0,0,0,0,0,0,1,0,1,1,1,0,0
273,2000,Metropolitana,0,0,0,0,0,0,0,0,0,2,0,0,1,2
274,2000,Metropolitana,0,0,0,0,1,0,0,0,0,0,1,1,0,0
275,2000,Metropolitana,0,0,1,0,1,0,0,1,0,1,1,1,0,0
276,2000,Metropolitana,1,1,0,2,1,0,0,0,0,0,0,1,0,0
277,2000,Metropolitana,0,0,0,0,0,0,0,1,1,0,0,0,0,0
278,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
279,2000,Metropolitana,1,0,1,1,0,0,0,0,0,1,1,0,0,0
280,2000,Metropolitana,0,1,0,2,1,1,0,0,0,0,0,1,1,0
281,2000,Metropolitana,0,0,0,1,0,0,0,1,0,0,1,1,0,0
282,2000,Metropolitana,0,0,1,0,0,1,0,1,0,0,0,1,0,0
283,2000,Metropolitana,1,3,1,1,1,0,0,0,2,2,0,0,0,0
284,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0
285,2000,Metropolitana,0,1,0,2,0,0,0,0,1,1,0,0,0,0
286,2000,Metropolitana,1,1,1,0,0,1,0,0,0,1,0,0,0,0
287,2000,Metropolitana,0,0,0,0,1,0,2,1,2,0,0,0,0,0
288,2000,Metropolitana,1,1,0,2,1,1,0,0,0,1,1,0,0,0
289,2000,Metropolitana,1,0,0,1,0,0,0,0,1,1,0,0,0,0
290,2000,Metropolitana,0,0,1,1,1,0,0,0,0,0,0,1,0,0
291,2000,Metropolitana,1,1,0,2,0,0,0,0,1,1,0,0,0,0
292,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0
293,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,1,1
294,2000,Metropolitana,1,0,0,1,0,0,0,0,0,1,0,0,0,0
295,2000,Metropolitana,0,0,0,0,2,0,1,0,0,0,1,1,0,0
296,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,0,1
297,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
298,2000,Metropolitana,1,1,0,1,0,0,0,0,0,1,1,0,0,0
299,2000,Metropolitana,0,1,0,1,0,0,0,0,0,1,1,0,0,0
300,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,1
301,2000,Metropolitana,0,0,1,0,0,1,0,0,0,0,0,1,0,0
302,2000,Metropolitana,0,1,0,0,0,0,0,1,1,0,0,0,1,0
303,2000,Metropolitana,0,1,0,1,0,0,0,0,0,1,1,0,0,0
304,2000,Metropolitana,0,0,0,0,0,0,0,0,2,1,1,1,0,0
305,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
306,2000,Metropolitana,0,0,0,0,1,0,2,0,0,2,0,2,1,0
307,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,2,0
308,2000,Metropolitana,0,0,0,0,1,0,0,0,0,2,1,1,0,0
309,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0
310,2000,Metropolitana,0,0,1,0,2,0,1,1,0,0,1,1,0,0
311,2000,Metropolitana,0,0,0,0,0,1,0,0,0,0,0,1,0,1
312,2000,Metropolitana,0,1,1,0,0,1,1,0,0,0,1,1,0,0
313,2000,Metropolitana,0,0,0,1,0,0,0,1,0,0,1,2,0,1
314,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
315,2000,Metropolitana,0,0,1,0,0,0,2,0,0,0,1,1,0,0
316,2000,Metropolitana,0,0,0,0,1,1,0,1,0,1,0,0,0,0
317,2000,Metropolitana,0,0,0,0,1,0,0,0,0,1,0,1,0,0
318,2000,Metropolitana,0,0,1,1,0,0,0,0,0,2,1,1,0,0
319,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,1,1,0
320,2000,Metropolitana,0,1,1,0,1,0,0,1,2,0,0,2,0,0
321,2000,Metropolitana,1,1,1,2,1,0,0,0,1,2,1,1,0,0
322,2000,Metropolitana,0,0,0,0,0,0,1,1,0,0,0,0,1,1
323,2000,Metropolitana,0,0,0,0,0,0,1,0,1,0,0,1,1,1
324,2000,Metropolitana,0,0,0,0,0,0,0,1,1,0,1,1,0,0
325,2000,Metropolitana,0,0,0,1,0,0,0,0,1,1,1,1,0,1
326,2000,Metropolitana,0,1,0,0,0,0,0,0,0,1,1,0,0,1
327,2000,Metropolitana,0,1,1,1,0,0,0,0,0,0,0,1,0,1
328,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2
329,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,0,1,1,0
330,2000,Metropolitana,0,0,0,0,0,0,0,0,1,1,0,0,1,1
331,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2
332,2000,Metropolitana,1,0,0,1,0,0,0,0,0,0,1,1,0,0
333,2000,Metropolitana,0,0,1,0,1,0,1,0,0,0,1,1,0,1
334,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,0,0,0,1
335,2000,Metropolitana,0,0,0,0,0,0,1,0,0,1,1,1,0,0
336,2000,Metropolitana,0,0,0,0,0,0,0,0,2,0,0,0,0,1
337,2000,Metropolitana,1,0,1,1,0,0,0,0,1,1,0,0,0,0
338,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0
339,2000,Metropolitana,1,0,0,1,0,0,0,0,1,1,0,0,0,0
340,2000,Metropolitana,0,1,0,0,0,0,0,1,2,1,0,0,1,1
341,2000,Metropolitana,1,0,0,1,0,0,0,0,1,1,0,0,1,0
342,2000,Metropolitana,0,0,1,0,2,1,0,1,0,0,0,1,1,0
343,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2
344,2000,Metropolitana,0,0,0,0,0,0,1,1,0,0,0,0,1,1
345,2000,Metropolitana,0,0,0,0,0,0,0,1,0,1,0,0,0,1
346,2000,Metropolitana,0,0,0,0,1,0,0,0,1,0,1,1,0,0
347,2000,Metropolitana,1,1,0,3,0,0,0,0,1,3,0,1,0,0
