i,t,m,Avocado,Bananas,Beans,Beef,Beef Entrails,Beer,Beets,Bread (french),Bread (sliced),Bread (sweet),Brown Sugar,Butter,Cabbages,Cakes,Candies,Carrots,Celery,Chayote,Chicken,Chicken Giblets,Chilies,Chocolate,Cigarettes,Coffee (instant),Cookies,Cooking Oil,Corn Atole,Corn Dough (fresh(,Corn Flakes,Corn Tamales,Cornmeal,Crema Fresca,Cucumbers,Dried Fruit,Dried Seeds,Eggs,Fish (Canned),Fish (Fresh),Garlic,Granulated Sugar,Herbs,"Honey, Molasses",Ice Cream,Incaparina,Infant Formula,Jam,Juice (Branded),Juices (Packaged),Lard,Leafcutter Ants and Other Insect,Lemons,Lettuce,Liquor,Maize,Mangos,Margarine,Melons,Milk,Milk (condensed),Milk (powdered),Mineral Water,Mushrooms,Onions,Oranges,Other,Other Atoles,Other Canned Goods,Other Sauces,Paches,Papaya,Pasta,Peas,Pineapples,Pork,Pork (cracklings),Potatoes,Pumpkin,Queso,Rice,Rolled Oats,Rural,Salt,Sausages,Soup,Spices,Sweets,Tea,Tomato Sauce,Tomatoes,Tortillas,Tostadas,Vegetable Oil,Water (bottle),Watermelon,Wheat Flour,Yogurt,Yucca
12,2000,Metropolitana,2.302585092994046,3.828641396489095,2.2512917986064953,6.040254711277414,2.1400661634962708,3.6888794541139363,,3.8066624897703196,3.4965075614664802,4.31748811353631,2.3513752571634776,,0.0,2.70805020110221,,,,3.58351893845611,4.356708826689592,,1.791759469228055,,4.143134726391533,3.332204510175204,,2.3978952727983707,2.0149030205422647,,3.2188758248682006,,,3.58351893845611,2.4849066497880004,,,3.58351893845611,,,1.3862943611198906,2.7568403652716422,,,3.4011973816621555,,,,,,,,,1.3862943611198906,3.091042453358316,,,3.091042453358316,,3.4011973816621555,,4.382026634673881,,,2.0794415416798357,,,,,,2.995732273553991,1.6094379124341003,1.7047480922384253,3.4657359027997265,1.252762968495368,4.718498871295094,,2.70805020110221,,2.70805020110221,3.624340932976365,2.1972245773362196,,0.0,3.912023005428146,3.332204510175204,2.4849066497880004,2.4849066497880004,,3.2386784521643803,2.995732273553991,,2.70805020110221,,4.90527477843843,,2.4849066497880004,3.091042453358316,2.70805020110221
13,2000,Metropolitana,2.70805020110221,4.060443010546419,,5.652489180268651,,,,3.8066624897703196,1.5040773967762742,3.8066624897703196,,,0.0,,,0.6931471805599453,,0.0,2.995732273553991,,1.791759469228055,,4.722953221644475,,1.280933819073175,2.70805020110221,,,2.1400661634962708,3.332204510175204,,2.3978952727983707,,,0.6931471805599453,3.901972669574645,4.1588830833596715,,0.6931471805599453,3.2386784521643803,2.772588722239781,,2.302585092994046,,,,2.302585092994046,2.995732273553991,,,,2.302585092994046,,,,2.0149030205422647,,2.1972245773362196,,,,,1.3862943611198906,2.5257286443082556,,,,2.70805020110221,,2.1972245773362196,,,2.4849066497880004,4.787491742782046,,3.4011973816621555,,3.1780538303479458,1.6094379124341003,,,0.0,4.382026634673881,2.0794415416798357,0.0,,,,2.8903717578961645,3.1135153092103742,,,2.302585092994046,2.302585092994046,2.1400661634962708,,
14,2000,Metropolitana,1.6094379124341003,3.258096538021482,1.6094379124341003,6.152732694704104,,,0.6931471805599453,3.8066624897703196,1.6094379124341003,0.0,,,0.6931471805599453,,,0.9162907318741551,,0.6931471805599453,3.784189633918261,,0.6931471805599453,,,,2.995732273553991,2.0149030205422647,,,2.995732273553991,,1.5040773967762742,2.5257286443082556,0.0,,,2.8903717578961645,,,0.6931471805599453,2.1102132003465894,0.9162907318741551,2.0149030205422647,3.5553480614894135,,,,1.6094379124341003,,,,0.6931471805599453,1.0986122886681098,,,,1.6094379124341003,,,,4.276666119016055,,,1.0986122886681098,,,,,,,,1.8325814637483102,1.9459101490553132,1.0986122886681098,,,1.6094379124341003,,2.1972245773362196,2.70805020110221,3.367295829986474,,0.0,2.995732273553991,2.70805020110221,,,2.0149030205422647,,1.0986122886681098,3.4011973816621555,1.8718021769015913,,,,2.0794415416798357,,
15,2000,Metropolitana,1.0986122886681098,3.7376696182833684,2.0149030205422647,4.2626798770413155,,,1.791759469228055,3.9889840465642745,,1.0986122886681098,,,0.4054651081081644,1.5040773967762742,1.0986122886681098,1.791759469228055,,1.6094379124341003,3.871201010907891,,0.0,,,,1.2383742449563118,,,1.3862943611198906,,,-0.2876820724517809,2.5257286443082556,,,0.6931471805599453,2.6100698206831825,,,0.6931471805599453,4.33729074083249,2.3513752571634776,,,,,,3.1780538303479458,2.70805020110221,,,2.995732273553991,1.791759469228055,,,,1.749199854809259,,2.995732273553991,,2.8903717578961645,1.791759469228055,,2.302585092994046,1.791759469228055,,,,,,3.044522437723423,1.3862943611198906,,1.6094379124341003,,,2.995732273553991,,1.749199854809259,2.0149030205422647,,,0.0,3.6375861597263857,0.0,,2.302585092994046,,2.0794415416798357,2.302585092994046,3.624340932976365,,,3.855452653939752,,-0.2876820724517809,,
16,2000,Metropolitana,1.791759469228055,0.8109302162163288,,3.332204510175204,,,,3.624340932976365,,3.624340932976365,,,,,,0.6931471805599453,-0.2876820724517809,0.22314355131420976,3.1135153092103742,,,,2.0794415416798357,2.302585092994046,,,,,3.295836866004329,,,2.6026896854443837,0.0,,,2.917770732084279,,,,3.8066624897703196,0.6931471805599453,,,,,,,,,,1.791759469228055,,,,,1.6524973616646614,0.9162907318741551,2.995732273553991,,,,,,,,,,,,,0.5596157879354227,,,,,0.4054651081081644,,,0.18232159679395377,1.6094379124341003,,-0.6931471805599453,1.6094379124341003,,,,,,,2.70805020110221,,,,,,,
17,2000,Metropolitana,1.6094379124341003,1.791759469228055,,,,,,1.3862943611198906,,2.70805020110221,,,,,,2.4849066497880004,,,,,,,,,,,,,,,,,1.791759469228055,,,1.791759469228055,,,,,,,,,,,,,,,,,,,2.0794415416798357,,,,,3.58351893845611,2.302585092994046,,,,,,,,,1.791759469228055,,,,,,0.4054651081081644,,,,,,,,,,,,,1.0986122886681098,1.6094379124341003,,,,,,,
18,2000,Metropolitana,3.912023005428146,4.219507705176107,3.817712325956905,6.579251212010101,,,,,3.1780538303479458,,,,1.6094379124341003,,,2.4849066497880004,1.791759469228055,2.302585092994046,4.382026634673881,,2.4849066497880004,,,,3.2188758248682006,,,,4.8283137373023015,,,3.58351893845611,2.4849066497880004,,,,2.833213344056216,,,3.8066624897703196,1.9459101490553132,,,2.302585092994046,4.430816798843313,,,,,,,1.0986122886681098,,,,,4.605170185988092,5.0106352940962555,,,6.1092475827643655,,2.3513752571634776,1.9459101490553132,,,,,,4.0943445622221,3.6888794541139363,,2.8903717578961645,4.499809670330265,,,,,3.629660114613116,2.302585092994046,,,4.0943445622221,,3.2188758248682006,,,3.1135153092103742,3.4011973816621555,,,,4.787491742782046,,,2.5257286443082556,
19,2000,Metropolitana,,1.791759469228055,1.3862943611198906,3.871201010907891,,,,2.70805020110221,,,,1.791759469228055,,,,1.791759469228055,,,2.4849066497880004,,,,,,,2.0149030205422647,,,2.995732273553991,,,,,,,2.6390573296152584,,,0.0,3.2088254890146994,0.9162907318741551,,,2.0794415416798357,,,,,,,,,,,,,,4.248495242049359,,,,,2.70805020110221,,,,,,,,,,,,,1.3862943611198906,,1.252762968495368,1.6094379124341003,,,,,2.0149030205422647,,1.9459101490553132,1.9459101490553132,,2.70805020110221,3.1135153092103742,,,,,,,
20,2000,Metropolitana,1.791759469228055,,2.302585092994046,4.74493212836325,2.302585092994046,,,2.70805020110221,,2.70805020110221,,,,,2.772588722239781,0.8109302162163288,,,3.8066624897703196,,0.6931471805599453,1.5789786853617627,,,,2.0149030205422647,,,,,,3.091042453358316,,,,1.9740809994942317,,2.0794415416798357,,,-0.6931471805599453,,,,,,,,,,0.6931471805599453,0.9162907318741551,,,,,0.4054651081081644,,,,2.4849066497880004,,0.9162907318741551,0.0,,,,,1.3862943611198906,,,,,3.332204510175204,,0.0,,,,,,,,,,,,,1.791759469228055,,,,,,,,
21,2000,Metropolitana,,2.4849066497880004,0.9162907318741551,2.70805020110221,,,,3.4011973816621555,,0.6931471805599453,,,,,,1.0986122886681098,,0.0,4.248495242049359,,-0.6931471805599453,,,,,,,,,,,,,,,2.0149030205422647,2.0794415416798357,,0.22314355131420976,3.7376696182833684,,,,1.252762968495368,,,0.0,,,,0.0,,,,,,,,,,,,0.6931471805599453,,,,,,,,,0.6931471805599453,,,,0.6931471805599453,,2.3978952727983707,,1.6582280766035324,,,,,,,,,,0.6931471805599453,,,,,,,
