j,2000,Code,Nutrient,Agua,Energía,Proteina,Grasa Total,Carbo-hidratos,Fibra Diet. total,Ceniza,Calcio,Fosforo,Hierro,Tiamina,Riboﬂavina,Niacina,Vit. C,Vit. A Equiv. Retinol,Ác. grasos mono-insat.,Ác. grasos poli-insat.,Ác. Grasos saturados,Colesterol,Potasio,Sodio,Zinc,Magnesio,Vit. B6,Vit. B12,Ac. Fólico,Folato Equiv. FD,Fracción Comestible
Papaya,papaya,12115,PAPAYA DE MONTAÑA,93,24,0.8,0.2,5.4,0,0.6,12,14,0.5,0.02,0.03,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
Cakes,pasteles,14071,HOJALDRE,10,370,2.4,2,85.5,0,0.1,14,43,1.5,0.01,0.06,0.3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1
Cucumbers,pepino,11138,PEPINO/COJOMBRO DE ENSALADA,96.73,12,0.59,0.16,2.16,0.7,0.36,14,21,0.22,0.03,0.03,0.04,3,4,0,0,0.01,0,136,2,0.17,12,0.05,0,0,14,0.73
Fish (Fresh),pescado fresco,8018,"PESCADO CARNE, ARENQUE, FRESCO",70.27,186,14.37,13.84,0,0,1,3,164,0.66,0.06,0.08,1.5,0,17,8.38,1.37,2.42,46,268,80,0.4,26,0.42,1,0,1,1
Pineapples,piÑa,12159,"PIÑA, TODA VARIEDAD",86.46,48,0.54,0.12,12.63,1.4,0.24,13,8,0.28,0.08,0.03,0.49,36,3,0.01,0.04,0.01,0,115,1,0.1,12,0.11,0,0,15,0.52
Queso,queso fresco / duro,1064,"QUESO TIPO RICOTTA, DESCREMADO",74.41,138,11.39,7.91,5.14,0,1.15,272,183,0.44,0.02,0.19,0.08,0,107,2.31,0.26,4.93,31,125,125,1.34,15,0.02,0.29,0,13,1
Yucca,yuca,11167,"YUCA O MANDIOCA, RAÍZ",59.68,160,1.36,0.28,38.06,1.8,0.62,16,27,0.27,0.09,0.05,0.85,21,1,0.08,0.05,0.07,0,271,14,0.34,21,0.09,0,0,27,1
Beets,remolacha,11147,REMOLACHA CRUDA,87.58,43,1.61,0.17,9.56,2.8,1.08,16,40,0.8,0.03,0.04,0.33,5,2,0.03,0.06,0.03,0,325,78,0.35,23,0.07,0,0,109,0.67
Cabbages,repollo,11150,"REPOLLO/COL COMUN, CRUDO",92.52,24,1.21,0.18,5.37,2.3,0.72,47,23,0.56,0.05,0.03,0.3,51,6,0.01,0.09,0.02,0,246,18,0.18,15,0.09,0,0,57,0.8
Salt,sal,22021,SAL DE MESA,0.2,0,0,0,0,0,99.8,24,0,0.33,0,0,0,0,0,0,0,0,0,8,38758,0.1,1,0,0,0,0,1
Tomato Sauce,salsa y pasta de tomate,11161,"TOMATE, JUGO ENLATADO S/SAL",93.9,17,0.76,0.05,4.24,0.4,1.05,10,18,0.43,0.05,0.03,0.67,18,23,0.01,0.02,0.01,0,229,10,0.15,11,0.11,0,0,20,1
Watermelon,sandias,12134,SANDIA,91.45,30,0.61,0.15,7.55,0.4,0.25,7,11,0.24,0.03,0.02,0.18,8,28,0.04,0.05,0.02,0,112,1,0.1,10,0.05,0,0,3,0.52
Soup,sopas en sobre,20023,"SOPA CONDENSADA,  ENLAT. CEBOLLA",86.35,46,3.06,1.42,6.68,0.7,2.49,22,9,0.55,0.03,0.02,0.49,1,3,0.61,0.53,0.21,0,56,860,0.5,2,0.04,0,0,12,1
Corn Tamales,tamales de maiz,21137,TAMAL DE ELOTE (GUATEMALA),0,128,1.99,3.31,23,0,0.68,11,63,0.56,0.09,0.07,0.73,10,190,1.4,1.2,0.64,0,2,39,0,0,0,0,0,0,1
Tea,te,17062,"TE DE HIERBAS (NO MANZANILLA), PREPARADO C/AGUA S/AZÚCAR",99.7,1,0,0,0.2,0,0,2,0,0.08,0.01,0,0,0,0,0,0,0,0,9,1,0.04,1,0,0,0,1,1
Tomatoes,tomate,11157,TOMATE ROJO,93.8,21,0.8,0.3,4.6,1.2,0.5,7,24,0.6,0.06,0.05,0.7,23,42,0.05,0.14,0.05,0,237,5,0.17,0,0.08,0,0,15,0.98
Tortillas,tortillas,14057,"TORTILLA DE MAICILLO,  C/CAL",48.8,194,5,1.5,43.8,0,0.9,100,187,3.1,0.08,0.06,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tostadas,tostadas,11078,"ELOTE/MAÍZ FRESCO, MUY TIERNO",89,36,1.8,0.2,8.4,0,0.6,10,57,0.5,0.08,0.08,0.67,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carrots,zanahoria,11169,"ZANAHORIA C/CÁSCARA, CRUDA",88.29,41,0.93,0.24,9.58,2.8,0.97,33,35,0.3,0.07,0.06,0.98,6,841,0.01,0.12,0.04,0,320,69,0.24,12,0.14,0,0,19,0.89
