j,u,Central,Metropolitana,Noroccidente,Nororiente,Norte,Peten,Suroccidente,Suroriente
Tea,lbs,8.341667044,7.500000168,9.895833555,7.500000168,12.50000028,,12.50000028,150.0000034
Tomatoes,lbs,1.5,2,2,2.45,2,2.5,2,2
Tortillas,lbs,1.250000028,1.04166669,1.04166669,2.08333338,1.04166669,1.04166669,1.134259285,1.38888892
Tostadas,lbs,7.499999969,6.683928809,2.000000045,3.12500007,5.000000112,3.750000084,3.645833415,12.50000028
Beef Entrails,lbs,7.5,10,6,10,7,7,8,10
Chicken Giblets,lbs,4,4.5,4,5,4,4,3.875,4
Yogurt,lbs,8.227272722,9.090908894,8.181818004,8.658008741,7.272727115,8.409090727,6.81818167,4.545454447
Yucca,lbs,2,2.5,1,2,1.339285714,2,1.5,2
Carrots,lbs,1.06382979,1.06382979,0.638297874,2.12765958,2.12765958,2.12765958,0.6205673775,2.12765958
Leafcutter Ants and Other Insect,lbs,8,,4.5,6,,6,5,4.25
